,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,clean_text,rating
124782,A2GWI8ETASAKJS,B007RTAR64,Trivium Teacher,"[0, 0]","Love this collector doll!!  We've never been into Barbies, but Katniss is just perfect!!  Not much else to say!  We love her.",5.0,Katniss Everdeen,1388188800,"12 28, 2013",love collector doll weve never barbies katniss perfect much else say love,1
160521,AXOXXNDX8ASWI,B00DOPEGAS,lindy lou,"[0, 1]",Very popular also many of the girls love to share what they have made.nice box can store rubber bands and loom maker. Give them a craft to make on cold snowy days..,5.0,Loom Bracelet Maker,1388016000,"12 26, 2013",popular also many girls love share madenice box store rubber bands loom maker give craft make cold snowy days,1
12075,A164I5URR7J6Y2,B000068CKY,Sandy,"[0, 0]","These are great toys - I think I might like them better than my son, who is four.  We have a great time building structures together.  They are also very compatible with his Tonka toys - they bulldoze into piles, get picked up by the loader, and carted around the house in the dump truck.  They are very durable, and are I don't worry about them breaking when stacked and knocked down (great fun for the little guy) or used as construction 'material' with his construction toys.",5.0,fun with blocks,1356480000,"12 26, 2012",great toys think might like better son four great time building structures together also compatible tonka toys bulldoze piles get picked loader carted around house dump truck durable dont worry breaking stacked knocked great fun little guy used construction material construction toys,1
34631,A15XZFMT2VL1DB,B000HV2TY2,Yari,"[0, 0]",I didn't like it I thought I would but I didn't I don't know how to explain. For one it most fall apart which it's a big problem on my book,2.0,Ok,1394928000,"03 16, 2014",didnt like thought would didnt dont know explain one fall apart big problem book,0
117965,A2TKJW5BR3KN08,B006ZUUU86,Eric T. Cowan,"[0, 0]","My 5 year old loves this book. She has made a lalaloopsey drawing of all the adults in her life. There is one of her parents, grandparents, teacher, neighbors and some of her friends too. She really enjoys it.",4.0,Everyone in our family now has a Lalaloopsey picture,1362355200,"03 4, 2013",year old loves book made lalaloopsey drawing adults life one parents grandparents teacher neighbors friends really enjoys,1
119520,AETO9HTAJ7HJI,B0077NCEWA,Mishieru,"[0, 0]","I ordered this for my 4 year old daughter for Christmas. We were not sure what to get her, so we took her to the toy store to see what toys she had the most interest in, and this was the one. She carried the pirate ship through the entire store. She loves Jake and the Never Land Pirates and playing pirates. She was thrilled to get this for Christmas (along with the telescope). The cannon shoots surprisingly well. I just wish the buttons did a little more/ had more sayings. But my daughter doesn't seem to mind at all. It's great quality and everything is working perfect on it! I would purchase this again.",4.0,Jake's Musical Pirate Ship,1389139200,"01 8, 2014",ordered year old daughter christmas sure get took toy store see toys interest one carried pirate ship entire store loves jake never land pirates playing pirates thrilled get christmas along telescope cannon shoots surprisingly well wish buttons little sayings daughter doesnt seem mind great quality everything working perfect would purchase,1
152105,A335BU9RKT2UEP,B00C74HWWQ,QuietOneInAtl,"[0, 0]",Got this for my 2 year old granddaughter that loves Little Mermaid.  It's not as sturdy as it could be but it's very cute and she likes playing with it,4.0,Very appealing,1393027200,"02 22, 2014",got year old granddaughter loves little mermaid sturdy could cute likes playing,1
147684,A2K75QOCP9ZHSL,B00BM2V522,"A. John ""military mom""","[18, 21]","This is rated 4 1/2 out of 5. My friend used this with her two daughters and wrote the review since she got to experience it first hand.My daughter is 5 months old and fell in LOVE with this table the moment I took it out of the box. This was the first real ""toy"" that she has been able to play with and I am super happy that it worked well with her.Even my 4 year old plays with this table! For some reason she is mesmerized by it! She has played with it for HOURS without a single sign of boredom! That is saying something! I am very happy with the fact that this seems to be a toy that my girls can play with together. There aren't a lot of products that encourage them to do that at this age. This table is big enough and has enough interactive options that it can keep both of them happy and engaged for long periods of time.I like that if they don't play with it for a few minutes (probably more like 30 seconds) it will say something like, ""Hello, are you there?"" or ""Let's play!"" this really pulls my girls in. Especially the 4 year old! She was fussing at the table the other day because the phone kept ringing. She said that her friends wanted to talk way too often and she was just too busy typing on the computer. HeheIt has a ton of things to keep her entertained from interactive parts, to a variety of sound options. It can even speak Spanish to her!Her favorite part seems to be the book and ball at the moment. (They are the easiest for her to manipulate) She just can't stop giggling anytime she rolls the ball or turns a page which makes things light up and noises happen.As a mom, I love the fact that it has different settings. This will make it so that she can enjoy it for a longer period of time. Not only do you have options for the sounds (ABCs/123s, music, Spanish/English, and interactive real life sounds) but you can also set it up in different ways. You may choose to either lay it flat on the floor, which is perfect for babies just learning to sit, or set it up on it's legs which encourages standing play!I only have two complaints so far. One is that it doesn't have a volume control. Any mom with the ""noise making"" toys knows that volume control is an important one! Two, while the Spanish option is great, it says the English word first and with as fast as my girls are hitting the buttons and moving pages the Spanish words are seldom heard. I would definitely recommend this toy to others, even with the two issues I have. Overall, it is a very educational and engaging toy that my girls ADORE!",4.0,"Fun, Interactive and Engaging",1374883200,"07 27, 2013",rated friend used two daughters wrote review since got experience first handmy daughter months old fell love table moment took box first real toy able play super happy worked well hereven year old plays table reason mesmerized played hours without single sign boredom saying something happy fact seems toy girls play together arent lot products encourage age table big enough enough interactive options keep happy engaged long periods timei like dont play minutes probably like seconds say something like hello lets play really pulls girls especially year old fussing table day phone kept ringing said friends wanted talk way often busy typing computer heheit ton things keep entertained interactive parts variety sound options even speak spanish herher favorite part seems book ball moment easiest manipulate cant stop giggling anytime rolls ball turns page makes things light noises happenas mom love fact different settings make enjoy longer period time options sounds abcss music spanishenglish interactive real life sounds also set different ways may choose either lay flat floor perfect babies learning sit set legs encourages standing playi two complaints far one doesnt volume control mom noise making toys knows volume control important one two spanish option great says english word first fast girls hitting buttons moving pages spanish words seldom heard would definitely recommend toy others even two issues overall educational engaging toy girls adore,1
25554,A2D0G3K909TSCH,B000A88KOA,,"[0, 3]",Great toy to learn the value of money.  Or at least the existance of money other then eating or chewing on coins it goes in the pigs belly.,5.0,Great toy,1163548800,"11 15, 2006",great toy learn value money least existance money eating chewing coins goes pigs belly,1
149603,A1TQZ4RSHEKQ45,B00BVED8KI,"EKal ""EKal""","[0, 0]",If you're playing smash up regularly there is absolutely no reason not to buy this.  The new mechanics are fun and it turns original decks that no one wanted to play (Wizards for example) into a great combo to choose.  Great game made better by a great expansion.,5.0,I love Smash Up and really love the expansion.,1371772800,"06 21, 2013",youre playing smash regularly absolutely reason buy new mechanics fun turns original decks one wanted play wizards example great combo choose great game made better great expansion,1
157811,A2FEGS2537L31Q,B00CSGYLQI,Tara,"[0, 1]","Don't get me wrong, my daughter loves it.  However, this product was so poorly made.  The plastic is as cheep as they come.  My daughter has house/castle/palace type toys for years now without incident.  As for this product we will be lucky if it lasts another month or two.  What an opportunity Mattel had to make a great well made product, because this movie Frozen will become one of the classic holiday shows in many years to come.  We even thought that there was a possible chance that the plastic material used would break in the process.  By the way, what a small sized castle I have ever seen, but still wanted 99.99 for it.  We would have preferred a better made product and pay more money for it knowing it would last.",2.0,Anything Frozen this year is a big hit but...,1390262400,"01 21, 2014",dont get wrong daughter loves however product poorly made plastic cheep come daughter housecastlepalace type toys years without incident product lucky lasts another month two opportunity mattel make great well made product movie frozen become one classic holiday shows many years come even thought possible chance plastic material used would break process way small sized castle ever seen still wanted would preferred better made product pay money knowing would last,0
22408,A1WM6JPPSVAUIK,B0006Z8YB6,Busy Mommy....,"[0, 0]","This is a fun way for my son to learn about light and how rainbows happen.  A little over his 4 year old brain right now, but it least he will understand it a little more later.  :)",5.0,Fun for an exploring boy...,1396656000,"04 5, 2014",fun way son learn light rainbows happen little year old brain right least understand little later,1
66826,A21J6LEA81KLIR,B002PZWJNE,sue,"[0, 0]",PROS:-Shipping was fast-I love how it comes in different varity of stamps-good price for 50 of them!-Makes a great goodybag toy!CON:-The stamps didn't really work not even on paper this was the only let down for me!,3.0,Goodybag toy,1403827200,"06 27, 2014",prosshipping fasti love comes different varity stampsgood price themmakes great goodybag toyconthe stamps didnt really work even paper let,0
43823,A2WS6FMF750EI9,B000V7Y0GW,"Amy Steele ""quirky one""","[0, 0]","The following is a review of the above product, not the price. O.K. guys, this sucker does smell when first purchased (I purchased this item June/July of 2008). I just did a sniff test on the van, and it is now odor free...hooray! However, I also smelled the gang, and they are still slightly kickin'. Am I worried about that smell? Yes. Does the worry about that smell keep me up at night? No...I am more worried about high power lines in my backyard, traffic accidents, pesticides, and my kid's social life right now, and it's not like she is constantly caressing the van and snuggling with it in bed at night. One of the doors of the van did fall off for several days when first purchased, and the door has a majority of the time stayed on since then (I am not sure if my toddler is pulling it off on purpose- she has a thing about the driver-side door being off on vehicles...strange.) Just make sure it ""snaps"" when putting said door(s) back on. No flowers- we'll live. Ray gun- I am not a stickler when it comes to ""Scoobia"" details. I am guessing that it just added more appeal to the male rugrats. Map dial inside of van is cool, but hard for kids to turn. Ditto for the small, plastic ""Caution"" door which reveals circuitry (?) with little detail. Educational? Sure, why not? For tots: stop, go, in, out, counting tires/doors, colors, smelly, non-smelly. Older kids can dig the monster info, learn about Shaggy's vegetarianism, and that brains count, not looks. Barbie and all that girly stuff can take a hike!",5.0,"Scooby-Dooby Doo, I Smell You (And Your Van)",1283385600,"09 2, 2010",following review product price ok guys sucker smell first purchased purchased item junejuly sniff test van odor freehooray however also smelled gang still slightly kickin worried smell yes worry smell keep night noi worried high power lines backyard traffic accidents pesticides kids social life right like constantly caressing van snuggling bed night one doors van fall several days first purchased door majority time stayed since sure toddler pulling purpose thing driverside door vehiclesstrange make sure snaps putting said doors back flowers well live ray gun stickler comes scoobia details guessing added appeal male rugrats map dial inside van cool hard kids turn ditto small plastic caution door reveals circuitry little detail educational sure tots stop go counting tiresdoors colors smelly nonsmelly older kids dig monster info learn shaggys vegetarianism brains count looks barbie girly stuff take hike,1
1979,A3F4C09LC2C0DT,1933054395,"Lola Cava ""Lola""","[1, 1]","It is hard to find a game for kids and adults to play together, but this game is great!  It is challenging and educational for kids.  I played it with a 5 year old and 8 year old and they both loved it and only needed a few reminders of the rules.  It teaches patterns, and is very fun.  It is really well made too, nowadays most things are so cheap but this game is wonderful.  A great game to purchase for a family!",5.0,Fun and educational!,1353628800,"11 23, 2012",hard find game kids adults play together game great challenging educational kids played year old year old loved needed reminders rules teaches patterns fun really well made nowadays things cheap game wonderful great game purchase family,1
108038,A2RUYJO1434MZP,B005L3KW9U,M. Pierce,"[0, 0]",And she especially loves this colorful case where all of her &#34;smaller&#34; pony friends can live and travel. Stretches her imagination as she contrives all sorts of &#34;pony friendly&#34; scenarios all along the way.,5.0,My grandadughter loves her ponies.,1394841600,"03 15, 2014",especially loves colorful case smaller pony friends live travel stretches imagination contrives sorts pony friendly scenarios along way,1
106996,A35ZYZ946LZAHG,B005H29GSI,T. Williams,"[0, 0]",The kids disregarded the cards so It's not really a game anymore.  I think we've lost most of the birds/pigs too.  You know how it is.,4.0,Hoonaha,1366243200,"04 18, 2013",kids disregarded cards really game anymore think weve lost birdspigs know,1
146657,ANVTZAFAFKZFE,B00BC1UBDW,mekaneck,"[0, 2]","I was excited at the idea and prospect of getting this wacky chan version of Batman but I gotta say the final product is kinda hurtin...why? well, the head is grossly out of scale. its super large, in fact its the single largest head sculpt applied to any 6"" DC figure ever, no joke it looks really strange it bugs the heck out of me. not sure how the creators/designers of the figure don't notice it....also the head cant even look up or down, it has one of those suspicious swivel type necks that plagued DC Universe Classics during waves 9-12...the paint is drab, in fact there isn't really paint. this figure would have benefited from a nice black wash or any sort of darker shadows. lack of rocker ankles on dc figures is the word, and it sucks.The baseball bat accessory is severely warped from the way its packed in the blister...Batmite is the best reason to buy this product, he's cool and looks dope in his black and grey duds!",2.0,Bizarre Large Head,1372032000,"06 24, 2013",excited idea prospect getting wacky chan version batman got ta say final product kinda hurtinwhy well head grossly scale super large fact single largest head sculpt applied dc figure ever joke looks really strange bugs heck sure creatorsdesigners figure dont notice italso head cant even look one suspicious swivel type necks plagued dc universe classics waves paint drab fact isnt really paint figure would benefited nice black wash sort darker shadows lack rocker ankles dc figures word sucksthe baseball bat accessory severely warped way packed blisterbatmite best reason buy product hes cool looks dope black grey duds,0
113227,A3JFHIXVIE9KV,B006CD4118,Stephen Jones,"[3, 3]","Here's a classic toy with a great new twist. The Dizzy Dancers are a lot like the tops we played with as kids. But these tops come with cute, interchangeable characters that spin and swirl each in a unique way.The colors are bright, the zip line is easy to insert, and the tops are very well balanced. I was surprised how long HopsiBella spins around and around.I really like the overall design, and that the only external moving part is a tiny spinning tip at the base of the top. But please note: the package comes with a warning not to let the tops make contact with long hair. The tips spin super fast, and could yank some hair in a hurry.As long as your kids are old enough to use common sense and keep the tops away from hair, they're sure to have a good time with these cute dancers.",5.0,"Cute, fast, and fun",1329955200,"02 23, 2012",heres classic toy great new twist dizzy dancers lot like tops played kids tops come cute interchangeable characters spin swirl unique waythe colors bright zip line easy insert tops well balanced surprised long hopsibella spins around aroundi really like overall design external moving part tiny spinning tip base top please note package comes warning let tops make contact long hair tips spin super fast could yank hair hurryas long kids old enough use common sense keep tops away hair theyre sure good time cute dancers,1
107856,A33REXJA49M01N,B005KIQE16,Charity Arkauskas,"[0, 0]","My seven year old received this as a gift, and really enjoys it. She had trouble putting it together by herself. I ended up building a lot of it myself, but once it was put together she played with it for several hours. She has since gotten several more sets, and plays with them a lot. The set is a little off balance which frustrates her, but she enjoys putting it back together in different ways.",5.0,Fun Lego Set,1376092800,"08 10, 2013",seven year old received gift really enjoys trouble putting together ended building lot put together played several hours since gotten several sets plays lot set little balance frustrates enjoys putting back together different ways,1
2494,AT1GMH2UHYROT,B00000DMBB,Lee DeWald,"[72, 75]","This is another childhood favorite that has not diminished with age.  This game is as fun now as it was in grade school.&quot;Battleship&quot; has a lot to do with strategy and luck.  You have to strategically place your pieces on the grid so they won't get &quot;hit&quot; and you have to use that and a little bit of luck to do your darndest to sink your opponent's ships.  It can get pretty tense when both players only have one ship left, and one wrong move (or right move depending upon your situation) can end the game.Fun: Like I said earlier, this is a childhood favorite of mine.  When it was raining outside during recess, we would always play this in the classroom.  &quot;Connect Four&quot; tournaments and &quot;Battleship&quot; tournaments were the norm when I was in grade school.Educational: &quot;Battleship&quot; is essentially a thinking game, although a little bit of luck plays into it, too.  Both players really have to use their smarts to come out the victor in this game.  Seasoned veterans know all too well how strategy can cripple a rookie opponent.Durability: Both game pieces are like a mini-laptop in a hard plastic casing.  So it is indeed very durable.  The only thing that could cause a problem are the little red and white pegs with which you mark the game board.  These can be a hassle to pick up if a game board is dropped and it accidently opens up, sending zillions of little pegs rolling around on the floor.  These can also be a choking hazard to young people, so that needs to be taken into account as well.If you love games that will make you think, or you are just someone looking for a fun challenge, &quot;Battleship&quot; is a great game to pick up.  The only prerequisite: swimming lessons in case the ship you're on goes down.",5.0,"Battle Stations, Everyone!",1006646400,"11 25, 2001",another childhood favorite diminished age game fun grade schoolquotbattleshipquot lot strategy luck strategically place pieces grid wont get quothitquot use little bit luck darndest sink opponents ships get pretty tense players one ship left one wrong move right move depending upon situation end gamefun like said earlier childhood favorite mine raining outside recess would always play classroom quotconnect fourquot tournaments quotbattleshipquot tournaments norm grade schooleducational quotbattleshipquot essentially thinking game although little bit luck plays players really use smarts come victor game seasoned veterans know well strategy cripple rookie opponentdurability game pieces like minilaptop hard plastic casing indeed durable thing could cause problem little red white pegs mark game board hassle pick game board dropped accidently opens sending zillions little pegs rolling around floor also choking hazard young people needs taken account wellif love games make think someone looking fun challenge quotbattleshipquot great game pick prerequisite swimming lessons case ship youre goes,1
71562,AF7HRUZGFFKWH,B0035EQDW2,"Purpledublin ""PJ's Mom""","[0, 0]","My kids have enjoyed this little set since Christmas.  The food is realistic looking and the toaster is a big hit!  The only quality issue that we've had is the juice in the cup fell out, but we are glad!  We can pretend to have a lot of different things to drink now that the orange plastic is removable.  It fits right back in the cup and looks as good as new.  The egg is a little hard to cram back in the shell, but that's okay by us.  Cute little breakfast set for my pre-k and toddler.",5.0,Fun!,1361232000,"02 19, 2013",kids enjoyed little set since christmas food realistic looking toaster big hit quality issue weve juice cup fell glad pretend lot different things drink orange plastic removable fits right back cup looks good new egg little hard cram back shell thats okay us cute little breakfast set prek toddler,1
125054,A3JT9T3QRBXW3X,B007SJ6C1M,Michele,"[0, 0]","My daughter is almost 5. She loves these little dolls. We take them traveling and she plays with them in the back seat after she gets board drawing. These are fun to look at, and good for fine motor learning skills because of having to use their little fingers to open up the dolls and putting them back together again.  Adults even seem to like them! I want to get others I have seen and start collecting them.",5.0,Soo cute!,1362960000,"03 11, 2013",daughter almost loves little dolls take traveling plays back seat gets board drawing fun look good fine motor learning skills use little fingers open dolls putting back together adults even seem like want get others seen start collecting,1
98396,A2NURN5ZVWOGBM,B004S69Z30,"Applewood Ranch ""Grandma Retired""","[0, 0]","Our 5 year old loves Chase and has played many hours with all his Bots.  They are a nice size, not too small, not too large, so can be easily stored in between play times.  The quality and functioning is good and they've survived the games with no problems.",5.0,Transformers Rescue Bot - Chase The Police Bot Transformers Rescue Bot - Chase The Police Bot,1362700800,"03 8, 2013",year old loves chase played many hours bots nice size small large easily stored play times quality functioning good theyve survived games problems,1
102273,A3407MNRHGDYXA,B004XJCSX6,"Mops ""babiemops""","[0, 1]","We haven't had this for too long yet, but so far all is working well. We got two sets and an extra pack of AA and AAA batteries. We got tired of spending so much money on batteries, with all the toys, Wii remotes, Leapster Explorers we have we also wanted to be a little more environmentally conscientious. So far no complaints and I would buy these again.",4.0,Great,1360886400,"02 15, 2013",havent long yet far working well got two sets extra pack aa aaa batteries got tired spending much money batteries toys wii remotes leapster explorers also wanted little environmentally conscientious far complaints would buy,1
55819,AW416BTRLMDW5,B001JQY6K4,E Mom,"[0, 0]","It's hard to find a really good 2 player game, even if it says 2-4 players. This game is fun for 2, 3, or 4 players. My husband and I like to play it a lot together (and with friends!). It's fun because it changes every time. With different cards and sets, the cards interact differently and you have to figure out a different strategy. The expansions are fun, too, but definitely start with regular Dominion to learn it and to teach someone. My mom loved the game, too, so we got it as a gift for her. Excellent strategy game!",5.0,Great game for 2 players or more,1369872000,"05 30, 2013",hard find really good player game even says players game fun players husband like play lot together friends fun changes every time different cards sets cards interact differently figure different strategy expansions fun definitely start regular dominion learn teach someone mom loved game got gift excellent strategy game,1
151210,A3PP7NEZIIM6BN,B00C6PU548,wikkedfairy,"[0, 0]","get it? ha, 2 cute, cuz there are 2 dresses. and these are fun to play with. my lil lady loves them! We will be buying the other pack very soon.",5.0,2 cute,1401840000,"06 4, 2014",get ha cute cuz dresses fun play lil lady loves buying pack soon,1
137700,A3PC2T7T1XELU6,B009CZW6K6,Leeldoo,"[1, 2]","My 3.5 and 6.5 year olds love this castle. Assembly was pretty straitforward and sturdy, we made sure our connectors attached firmly. We have had no incidents of anything coming apart (except the torch holders and they snapped right back on-- it was a horrible battle ;) ). There is a small dragon and a couple knights. Yes, there are small pieces that can come off the figures, but that is part of the detail and fun of the Playmobil playsets. We have added a few other figures to have a family living in the keep and so that our dungeon is always occupied. Fun set, they have had hours and hours of imaginative play!  This set has also been beneficial as a tactile and sturdy toy for learning about castles and knights.",5.0,Great starter castle,1371427200,"06 17, 2013",year olds love castle assembly pretty straitforward sturdy made sure connectors attached firmly incidents anything coming apart except torch holders snapped right back horrible battle small dragon couple knights yes small pieces come figures part detail fun playmobil playsets added figures family living keep dungeon always occupied fun set hours hours imaginative play set also beneficial tactile sturdy toy learning castles knights,1
71609,A18WVXXPZDDG6I,B0035FZWYG,"Keri Hill ""hugakeribear""","[0, 0]",I am a home childcare provider and I added this to the swing set and the kids love it..the only issue I have is them taking turns to share..very sturdy and what you expect from little tikes.,5.0,Love it..,1339459200,"06 12, 2012",home childcare provider added swing set kids love itthe issue taking turns sharevery sturdy expect little tikes,1
121653,AZ79H1B4CQAGG,B007HHQ4ZE,Annette Frost,"[4, 5]","So my kids are pretty spread out, between 2-12.  So I've been at this toy buying for a while and I love the concept of a sand and water table...so much that I've owned about a half dozen iterations in search of the perfect one.  I haven't found it yet.  This one that I bought last year for my then 1-year old is ok.  There's a little more room to play on each side which is nice, but the water tower is so annoying.  It is constantly popping apart.  Since it's one of the main attractions of the water side, that's a big problem.  I guess this summer will send me off in search of another one...",3.0,I'm still in search of the perfect sand/water table..,1389657600,"01 14, 2014",kids pretty spread ive toy buying love concept sand water tableso much ive owned half dozen iterations search perfect one havent found yet one bought last year year old ok theres little room play side nice water tower annoying constantly popping apart since one main attractions water side thats big problem guess summer send search another one,0
37153,A361PR5UO9MPPD,B000LSZVJQ,Linny05,"[0, 0]","By far our 11 month old daughter's favorite toy.  Sure, others light up, move, and talk to her, but she enjoys stacking the cups, hiding the smaller ones under the bigger ones, hiding her other toys under them, making them into a ball.  By far though, she enjoys when we look at her through the hole and she can reach up and poke us in the eye the most!I really cant think of a negative.  We gave it to her around 8 months and she continues to enjoy it. I see it growing with her!",5.0,Great toy and no batteries required!,1345248000,"08 18, 2012",far month old daughters favorite toy sure others light move talk enjoys stacking cups hiding smaller ones bigger ones hiding toys making ball far though enjoys look hole reach poke us eye mosti really cant think negative gave around months continues enjoy see growing,1
142883,APDPA11IZPYLN,B00AJE1CY0,"Sheila Chilcote-Collins ""Sheila Renee Chilcot...","[0, 1]","The Fisher-Price Laugh & Learn - Love To Play Sis is a high quality, educational toy that one would expect from Fisher-Price.  Even though I rated this toy a ""5"" for some reason they also make a ""BOY"" version of this dog.  I am not sure WHY Fisher-Price had to make one specifically and ""just for girls"" and one ""just for boys"" - IMHO just one, unisex dog would have been fine, but other than that, this toy is very interactive, soft (your child can easily sleep with it/no hard parts to hurt) and is SUPER educational.Your child can learn A-B-Cs, 1-2-3's and parts of the body, plus sing along to ten favorite songs and games, and one, specific song encourages interaction including head, shoulders, knees and toes and do your ears hang low.Overall, a great toy for 6 months to 4 years old!",5.0,Adorable Teaching Tool For Young Ones!,1376352000,"08 13, 2013",fisherprice laugh learn love play sis high quality educational toy one would expect fisherprice even though rated toy reason also make boy version dog sure fisherprice make one specifically girls one boys imho one unisex dog would fine toy interactive soft child easily sleep itno hard parts hurt super educationalyour child learn abcs parts body plus sing along ten favorite songs games one specific song encourages interaction including head shoulders knees toes ears hang lowoverall great toy months years old,1
