,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,clean_text,rating
149859,A279A4Y2N1CQ26,B00BYD5JLW,Crestviewer,"[1, 1]","I would give this game 2 stars but my girls would probably give it 4 stars, so I averaged out at 3 stars.The first time you play this game you have to pop all of the windows into the set. I had to read the directions several times before I understood how the game is played but basically one person is the hider and the other player is the seeker. Each turn, the hider hides one charm or character behind a window and the seeker has between 1-4 chances (depending on what they spin) to find a charm. They go back and forth taking turns until all of the cards are gone in the hiders stack.  Then the seeker counts the charms they found and the players are supposed to switch positions and play again to see who wins (i.e. who found more charms).One problem with this game is that it is very easy to cheat, even unintentionally, because the windows don't cover the holes all of the time or you might see which section of the building the hider is putting the charm. Also the odds of finding a charm are lower than I would hope for a preschool game because there 27 windows and only 8 charms. And the setup is kind of fragile so one accidental knock into it and the whole thing is going to fall over.We modified the game a bit to make it easier and my girls had fun playing their own version of it.",3.0,My girls love it because it is Sofia but I don't,1384128000,"11 11, 2013",would give game stars girls would probably give stars averaged starsthe first time play game pop windows set read directions several times understood game played basically one person hider player seeker turn hider hides one charm character behind window seeker chances depending spin find charm go back forth taking turns cards gone hiders stack seeker counts charms found players supposed switch positions play see wins ie found charmsone problem game easy cheat even unintentionally windows dont cover holes time might see section building hider putting charm also odds finding charm lower would hope preschool game windows charms setup kind fragile one accidental knock whole thing going fall overwe modified game bit make easier girls fun playing version,0
25850,A12URJ8Z6P9Q8S,B000AQT8R0,Amazon Customer,"[1, 1]","These are totally awesome!  They save our 20 month old lots of frustration... since he isn't old enough to understand the laws of physics and why his tracks simply won't stay in place :-)  They save daddy lots of frustration, since he doesn't have to set the track back up five times a day!Be warned though, they do not and AREN'T meant to work with every single piece of wooden track (I'm talking about the specialty tracks pieces).  They only work on the strait, curved, and the pieces that are meant to go up or down one level.And there is no need to lock ever piece of train track together.  For example, you won't need to buy 100 Sure Track pieces to go with your 100 piece train set.  One set of dozen will probably do just fine for most families.And these are amazing for creating those ""floating through the air"" type track set ups.  Sure Tracks doesn't always eliminated the need for support underneath the track, but since they're holding the actual pieces together, it does allow for more flexibility on where the supports can be placed.ALSO GO BUY THESE TOO:Your local dollar store sells little mini hair ties (for use one little girls hair... they're a little smaller than the size of a dime).  I picked up 500 clear bands for a dollar!!!!  Twist two or three around the ""male"" end of loose pieces.  Makes a world of difference and your track set up will stay together for hours!  BTW, I saw the mini hair tie tip after spending $6 ""Snug Trac"" rubber bands.  Total waste of money because the hair ties work better.So bottom line:  Buy this Sure Track set and the hair ties!!!",5.0,Money well spent,1355184000,"12 11, 2012",totally awesome save month old lots frustration since isnt old enough understand laws physics tracks simply wont stay place save daddy lots frustration since doesnt set track back five times daybe warned though arent meant work every single piece wooden track im talking specialty tracks pieces work strait curved pieces meant go one leveland need lock ever piece train track together example wont need buy sure track pieces go piece train set one set dozen probably fine familiesand amazing creating floating air type track set ups sure tracks doesnt always eliminated need support underneath track since theyre holding actual pieces together allow flexibility supports placedalso go buy tooyour local dollar store sells little mini hair ties use one little girls hair theyre little smaller size dime picked clear bands dollar twist two three around male end loose pieces makes world difference track set stay together hours btw saw mini hair tie tip spending snug trac rubber bands total waste money hair ties work betterso bottom line buy sure track set hair ties,1
157447,A3Q9HY0LU7MN6E,B00CRZXUZI,N. Cousino,"[0, 0]","My 5-year old who is going into Kindergarten next month was excited to give this a try when we received it. Right now she's very eager about practicing writing her letters and numbers, and while good old paper and pen/pencil work just fine for this, it was fun to have something different that makes the practice seem more of a game.LeapFrog makes the learning more fun using a story you work your way through the book learning the proper way to write letters, and also the sounds they make.  Along the way there are little bonus and hidden items and games to keep things interesting.  One feature I like about this book is that they group 'like' letters together - those with straight lines are learned together, and those with loops, etc., so you're not going in your usual order of 'A,B,C', but it makes sense for somebody who is learning for the first time to learn similar shapes.The book includes a handful of special LeapFrog Learning Paper throughout the book for your child to practice on, and an extra packet of paper is included for additional practice as well.  All this 'Learning Paper' is, is carbon-pressure paper that shows marks when you press down on it.  It will be a fun novelty item for most kids, but once you use up the paper you can't re-use it.  As far as I can tell you cannot purchase the Learning Paper separately, so once it is used up you'll have to turn to pencil and paper for more practice.While nothing replaces the value of a child learning from a parent/teacher, this Learn to Write book is a fun way to encourage some independent learning and fun exploration, overall it's another great product from LeapFrog.",5.0,LeapFrog LeapReader Book: Learn to Write Letters with Mr. Pencil,1375142400,"07 30, 2013",year old going kindergarten next month excited give try received right shes eager practicing writing letters numbers good old paper penpencil work fine fun something different makes practice seem gameleapfrog makes learning fun using story work way book learning proper way write letters also sounds make along way little bonus hidden items games keep things interesting one feature like book group like letters together straight lines learned together loops etc youre going usual order abc makes sense somebody learning first time learn similar shapesthe book includes handful special leapfrog learning paper throughout book child practice extra packet paper included additional practice well learning paper carbonpressure paper shows marks press fun novelty item kids use paper cant reuse far tell purchase learning paper separately used youll turn pencil paper practicewhile nothing replaces value child learning parentteacher learn write book fun way encourage independent learning fun exploration overall another great product leapfrog,1
73603,AHSGUMS04KF1W,B00385QUTO,Casey,"[0, 0]",I bought this toy for my son who has low functioning autism. he has no problem sliding out the keyboard or turning it on. Picture quality is good. The games are perfect for ages 3 to 6. we only had one problem with the Mobigo: the speakers. They started sounding scratchy. Then they went out. I searched on the internet and apparently this is  a common problem. You can hook up earbuds or head phones to get the sound thank goodness. I wouldn't recommend it for kids over 7. But its good for early learners.,4.0,good toy. Not great.,1366761600,"04 24, 2013",bought toy son low functioning autism problem sliding keyboard turning picture quality good games perfect ages one problem mobigo speakers started sounding scratchy went searched internet apparently common problem hook earbuds head phones get sound thank goodness wouldnt recommend kids good early learners,1
165217,A1R4BL5MYUDNDJ,B00FF5I5MU,"David Marks ""norcalidave""","[0, 0]","Look, this playlet is average, and the discounted Amazon price is reasonable, but I can't imagine a child over 5 or 6 who wouldn't easily get bored with this toy!  And somehow I would think that Mattel could design this simple toy unit so that it would function without three button batteries...Not to mention that there is no educational purpose inherent in this product.",3.0,It may be fortunate that this simple playset gets boring fast...,1397174400,"04 11, 2014",look playlet average discounted amazon price reasonable cant imagine child wouldnt easily get bored toy somehow would think mattel could design simple toy unit would function without three button batteriesnot mention educational purpose inherent product,0
126867,A2CXWSO9DA5IBN,B007XVYSYI,marie a montalbano,"[0, 0]",We bought this for our grandson. I haven't gotten to play with it yet. But from what my daughter says this is awesome!!,5.0,More Dinosaurs,1356739200,"12 29, 2012",bought grandson havent gotten play yet daughter says awesome,1
76222,AOM63D4VL32WM,B003A6GFRI,"Colleen D. Gallagher ""teachingheart net""","[0, 0]","The doll's head is all plastic and thus it makes it a durable for life with a 2-4 year old.  Unfortunately, my four year old found the doll a little scarey and would liked it best when the bounce mode was turned off.",3.0,Great Dolly for ages 2-4,1284595200,"09 16, 2010",dolls head plastic thus makes durable life year old unfortunately four year old found doll little scarey would liked best bounce mode turned,0
74230,AEQ0QDUQMGWXJ,B0038AJKG4,R.T,"[4, 5]","I think its an adorable product, but I didn't take into account that my daughter really wants more productive toys for her age. Though she's now 2 and I bought this for her for Xmas, its still something she isn't entirely interested in. She's ahead of herself and wants things that bigger kids play with. I will tell you its still a great product and I will find a great home for it.",3.0,LeapFrog Learn and Groove Music Wand,1308268800,"06 17, 2011",think adorable product didnt take account daughter really wants productive toys age though shes bought xmas still something isnt entirely interested shes ahead wants things bigger kids play tell still great product find great home,0
8749,A1OQYD2Y1F02WU,B00005AWB5,k8,"[0, 0]",My son started using this as a walker when he was 10 months old.  He walked on his own at 12 months.  He is now 18 months old and still plays with this radio flyer walker EVERY SINGLE DAY.  The side rails of the wagon have come off (my son can climb in and out) and the variety of play for this toy is excellent.  So glad we chose this walker.  HIGHLY RECOMMEND!,5.0,Awesome toy!!,1329436800,"02 17, 2012",son started using walker months old walked months months old still plays radio flyer walker every single day side rails wagon come son climb variety play toy excellent glad chose walker highly recommend,1
150257,A381MT950I6KRL,B00C18BXNC,JujubeMBA,"[1, 2]","This is a fast-action game, suitable for young boys or girls.  My 7 year old loves things that ""shoot"" in some way, so this entertains him pretty well.  It does remind one of a pinball game.Cars have to be a good combination of dimensions and weight to work well in it, but it's fun to try out different ones and see how they do.  The cars do get stuck fairly often, which annoys them a bit but not terribly.  So far both boys are amused by it for short periods of time, so I am waiting to see if it is something they continue to play with over time.The main trouble with this toy is the noise.  It is very loud!  I cut out a chunk of cardboard and taped it over the sound holes, but it is still jarringly loud.UPDATE:  The longer we have this toy, the more of an albatross it becomes.  Although the boys still love it and keep going back to it, the design could be improved, especially for the price, which is high for what it is.  I have padded the noise area with paper towels and cardboard, and lots of tape, but the noise is obnoxious even from two rooms away.  And it can't be put away somewhere, as it doesn't fold down for storage.  This is a large item.  If only the stand on the bottom folded down so it could be stored under a couch or a bed.",4.0,Loud fun for rowdy boys,1378857600,"09 11, 2013",fastaction game suitable young boys girls year old loves things shoot way entertains pretty well remind one pinball gamecars good combination dimensions weight work well fun try different ones see cars get stuck fairly often annoys bit terribly far boys amused short periods time waiting see something continue play timethe main trouble toy noise loud cut chunk cardboard taped sound holes still jarringly loudupdate longer toy albatross becomes although boys still love keep going back design could improved especially price high padded noise area paper towels cardboard lots tape noise obnoxious even two rooms away cant put away somewhere doesnt fold storage large item stand bottom folded could stored couch bed,1
19881,A1HBC0NBQJHT7X,B0002HZLWI,Bookphile,"[32, 33]","Simply put, these blocks are gorgeous.  They are so well-crafted and lovely and come in such a wide variety of shapes and sizes.  My husband and I even enjoy playing with my daughter, helping her to build towers and fantastical structures.  She also likes to lay the flat blocks in a line and use them as roads for her cars, complete with the triangular blocks at the end for ramps.",5.0,Hours of enjoyment,1194652800,"11 10, 2007",simply put blocks gorgeous wellcrafted lovely come wide variety shapes sizes husband even enjoy playing daughter helping build towers fantastical structures also likes lay flat blocks line use roads cars complete triangular blocks end ramps,1
117219,A3UZDOJLA9TGGH,B006WAJM1A,Janet Burnsed,"[0, 0]","We love  Monster High!!!  The quality, the carftmanship, and the beauty of this product is outstanding. This is a five star doll.",5.0,Nefera de Nile,1359158400,"01 26, 2013",love monster high quality carftmanship beauty product outstanding five star doll,1
32782,A30GUSBAGVYW59,B000GKAU1I,KaTaHaR,"[0, 0]",This puzzle is HUGE!  My son and niece and nephew had a blast with this puzzle.  The pieces connect good.,5.0,Very Big Puzzle,1371427200,"06 17, 2013",puzzle huge son niece nephew blast puzzle pieces connect good,1
92728,AWC3DHYS0M97I,B004KPKWLI,Joe,"[0, 0]","My daughter loves reading and loves letters, so she was very excited to receive this sticker book.  If she wasn't such a bookworm, she might find it a little monotonous to have page after page of the alphabet.",5.0,A Bookworm Toddler's Dream,1358208000,"01 15, 2013",daughter loves reading loves letters excited receive sticker book wasnt bookworm might find little monotonous page page alphabet,1
26440,A25TXSIR8Y3UVP,B000BGT6CG,"Dress shopper! ""123""","[0, 0]",I've done my research and there is not a softer and cuddlier Big Bird out there. This is the quality that you expect from GUND. We have the whole collection. I highly recommend this product.,5.0,Soft & Cuddly,1168300800,"01 9, 2007",ive done research softer cuddlier big bird quality expect gund whole collection highly recommend product,1
114524,AWNQ2PULUBHDH,B006O6ES02,"The Escape Artist ""G""","[38, 42]","I've had my eye on Robecca for months. I've had her Walmart holding page saved on my favorites for MONTHS (which has said 'out of stock online' FOR MONTHS).  I've checked the Mattel website FOR MONTHS just to get a sales date or more information on the doll or *something* that was helpful.  I've even been tempted to just give up and order Robecca on ebay. Finally I found Robecca (along with Venus and a few of the other 2012 dolls as well) at Target while I was out of state.  My 6 year old and I were elated!!!I can't begin to say how amazing Robecca is. Pictures really do NOT do justice to the details of this doll. In all honesty, I'm surprised she isn't limited edition - she has THAT much detail from her industrial blue/black gorgeous hair to her imprinted toes. Her clock theme is represented on her goggles, in her cog eyes (yep, she has liquid-copper-colored cogs painted on her irises!!!), and on the raised imprint pattern on her entire body. Her modern dress, Victorian outer hoop skirt, hatbox clock bag, cute little robot penguin, and ""rocket boots"" just seal her Victorian steampunk heritage.Robecca has absolute universal appeal - great doll for ALL ethnicities (she's British too!), a must for all MH collectors, and definitely appeals to fans of literature (steam punk and Victorian genres) and sci fi. Can't wait for the characters to make their debut in the Ghouls Rule dvd!!If you stumble upon Robecca at a good price, don't hesitate - BUY THIS DOLL!!!",5.0,Breathtaking beauty,1343865600,"08 2, 2012",ive eye robecca months ive walmart holding page saved favorites months said stock online months ive checked mattel website months get sales date information doll something helpful ive even tempted give order robecca ebay finally found robecca along venus dolls well target state year old elatedi cant begin say amazing robecca pictures really justice details doll honesty im surprised isnt limited edition much detail industrial blueblack gorgeous hair imprinted toes clock theme represented goggles cog eyes yep liquidcoppercolored cogs painted irises raised imprint pattern entire body modern dress victorian outer hoop skirt hatbox clock bag cute little robot penguin rocket boots seal victorian steampunk heritagerobecca absolute universal appeal great doll ethnicities shes british must mh collectors definitely appeals fans literature steam punk victorian genres sci fi cant wait characters make debut ghouls rule dvdif stumble upon robecca good price dont hesitate buy doll,1
25225,A2HF72GRWTRW35,B0009XFTPO,"James H. Walder ""Jim Walder""","[1, 1]","Like the ones I had as a kid only smaller, cheaper and poorly made.  Thanks China for more lost jobs and cheap stuff.  My grandkids and I got off a few good shots before it self destructed.  Very instructional.........they learned not to buy any more China knock offs.",3.0,Great idea gone bad,1299715200,"03 10, 2011",like ones kid smaller cheaper poorly made thanks china lost jobs cheap stuff grandkids got good shots self destructed instructionalthey learned buy china knock offs,0
147636,A21WM2LA6O94XD,B00BK8VQ04,CR,"[6, 7]","This heli is by far the BEST value for the money. It's incredibly DURABLE and forgiving. Seriously, this thing can take a beating, which makes it is GREAT for 4 channel beginners. Experienced pilots will like it too. It's LOW MAINTENANCE and FUN to FLY!!! I've wasted a TON of money on expensive RC helicopters. They break easy and require a lot of maintenance. If you rather spend your time flying your helicopter then fixing it, the V912 is the perfect heli for you.",5.0,VERY durable & EASY to fly!!!  Best 4 CH heli for the money.,1383609600,"11 5, 2013",heli far best value money incredibly durable forgiving seriously thing take beating makes great channel beginners experienced pilots like low maintenance fun fly ive wasted ton money expensive rc helicopters break easy require lot maintenance rather spend time flying helicopter fixing v perfect heli,1
58220,AJK3BGAL8O25U,B001RN88DK,tchermommy,"[0, 0]","This is a great party game for at least 4 people.  The goal is to get your teammate(s) to guess a word without using specific words that are on the 'Taboo' list.  For instance, try to get someone to guess the word 'cupcake' WITHOUT using &#34;frosting, birthday, icing, small, dessert&#34;.  Luckily for my daughter, she just had one two nights before we played the game! So I said, &#34;yummy treat at grandma's on Sunday.&#34;",5.0,Taboo! is a WINNER!,1395878400,"03 27, 2014",great party game least people goal get teammates guess word without using specific words taboo list instance try get someone guess word cupcake without using frosting birthday icing small dessert luckily daughter one two nights played game said yummy treat grandmas sunday,1
77505,AQ5DEZ9PLXT6X,B003BLQIQK,"Jessica R. Krom ""modest-mama""","[1, 1]","This game was fun to play with my kids ages three to nine. We are kind of ""out of the loop"" with pop culture, so some of the questions were difficult to answer. But if you can guess a number, you can play this game.I don't usually like these types of games, but I found this one to be interesting and engaging. It is very flexible in the length of time spent playing, a great feature if you need to squeeze in a before-bedtime-game. It's super easy to play. So nice to have an engaging game that our three year old can participate in. Especially when the game doesn't involve little plastic cherries or slides.I only gave it four stars because of the all pop-culture references. My kids didn't know a lot of the answers. But they were young for the recommended age groups. They still loved it though!",5.0,Great Family Fun!,1319587200,"10 26, 2011",game fun play kids ages three nine kind loop pop culture questions difficult answer guess number play gamei dont usually like types games found one interesting engaging flexible length time spent playing great feature need squeeze beforebedtimegame super easy play nice engaging game three year old participate especially game doesnt involve little plastic cherries slidesi gave four stars popculture references kids didnt know lot answers young recommended age groups still loved though,1
130694,A2NW2IMTWKKSXK,B0088LQZOI,Heather Obray,"[0, 0]",I recommend this Gel Skin to anyone wanting a protective skin for your LeapPad! It keep the LeapPad protected and looks great on it. Keeps his Electronic safe and protected from falls! 5 star product!,5.0,Great Protective Skin!,1383350400,"11 2, 2013",recommend gel skin anyone wanting protective skin leappad keep leappad protected looks great keeps electronic safe protected falls star product,1
81601,A2HHAV29CZ1OIE,B003P8IXTY,TheProf,"[55, 56]","I have a 6 year old and thought this would be a great art project to do together. However, as fun as this sounds, it is a frustrating experience.My observations:-The markers were difficult to use. I had to push and push on them to get the ink flowing and then my daughter got frustrated trying to color. You have to use short strokes and squeeze the markers very hard to keep getting ink.-The paper cutouts are easy to punch out.-You have to be very careful how you attach the clips for the mobile. Because you plug them into the base (which spins two ways) you have to watch out or you tie up all the clips in one rotation.-The spinning shadow scene was a bit easier to use on the spinning base but still a pain to color.-The glowing colors were okay and it was fun to watch for a little while. The colors were not what a would consider an ""explosion"" however. They are very muted compared to the photo on the box.-The glow in the dark aspect only lasts 4 hours (according to the box.) It didn't last nearly that long for us.-You need 2 AA batteries which are NOT included in the box.My daughter enjoyed it for all of 10 minutes. Not something we would recommend until they can fix the problem with the ink in the markers. It's a great idea- but fails in execution.",2.0,Fails in Execution,1288224000,"10 28, 2010",year old thought would great art project together however fun sounds frustrating experiencemy observationsthe markers difficult use push push get ink flowing daughter got frustrated trying color use short strokes squeeze markers hard keep getting inkthe paper cutouts easy punch outyou careful attach clips mobile plug base spins two ways watch tie clips one rotationthe spinning shadow scene bit easier use spinning base still pain colorthe glowing colors okay fun watch little colors would consider explosion however muted compared photo boxthe glow dark aspect lasts hours according box didnt last nearly long usyou need aa batteries included boxmy daughter enjoyed minutes something would recommend fix problem ink markers great idea fails execution,0
11920,A4DLVVK8W2ZVA,B0000683A4,"Artem ""REDNERD""","[1, 1]","I got this twice as a gift for boys in the family (8yr) and they both loved it. They both decided to build the radio first. Their parents loved it because it's educational, the boys loved it because it was fun putting something together that works. I think this set is a great way to get your kids interested in how things work.",5.0,Great gift for kids 8 and up,1354665600,"12 5, 2012",got twice gift boys family yr loved decided build radio first parents loved educational boys loved fun putting something together works think set great way get kids interested things work,1
155539,A287EKRXTMDZEU,B00CKH9UQQ,"Food Prep  Fanatic ""Foodie""","[0, 0]","Too much plastic and too many parts. This is so out of sequence with previous years' Matchbox toys . I see little play or educatonal value in this for my grandson, who has already lost parts and lost interest.Where is the sense of scale present in so many previous Matchbox toys?",3.0,Too much plastic and too many parts,1384992000,"11 21, 2013",much plastic many parts sequence previous years matchbox toys see little play educatonal value grandson already lost parts lost interestwhere sense scale present many previous matchbox toys,0
153325,A31EJWFHPPBKJL,B00CEUMJ62,"Sheila ""Sheila""","[0, 0]","4 year old wanted a Doc McStuffin's kit for Christmas, and this was one of the only choices. The plastic doctor bag is hard for her to open and close, the cover is a little 'off' so it doesn't really fit together well. The other tools are fine, good for pretend play. Its what you'd expect from a plastic toy.",4.0,Its alright,1388880000,"01 5, 2014",year old wanted doc mcstuffins kit christmas one choices plastic doctor bag hard open close cover little doesnt really fit together well tools fine good pretend play youd expect plastic toy,1
24494,A2BOOGBAR3XJUP,B0009ICKBU,"Jennifer ""Ashley Weis - Winslet Press""","[0, 0]","4 year old loved this... was his favorite bday present of everything we got. Played with it non-stop for days, then it died. The motor just stopped working right and it was running very slow and VERY loud. We took it apart, tried to see what was wrong, couldn't figure it out, and then it just died completely. Price is nice, but we will probably go for quality over cheapness next time...",3.0,Fun But Died...,1359331200,"01 28, 2013",year old loved favorite bday present everything got played nonstop days died motor stopped working right running slow loud took apart tried see wrong couldnt figure died completely price nice probably go quality cheapness next time,0
77705,A3W0CDAZYQB0Z3,B003CI1DAS,Shannyn Bishop Snyder,"[0, 1]",This is a cute toy for a kiddo who likes to rattle and roll and make noise.  We have one that we use as part of a children's music set.,5.0,Cute basic toy,1371168000,"06 14, 2013",cute toy kiddo likes rattle roll make noise one use part childrens music set,1
